tweet,Airtel_Pos,Airtel_Neut,Airtel_Neg,Saf_Pos,Saf_Neut,Saf_Neg,clean_tweets
"@emukala85 Apologies for the inconveniences caused , you will be notified once recharged . ^CaroFuck off @SafaricomPLC and @Safaricom_Care 
What are these now? Fix your network 😡😡",0,1,0,0,0,1,apologies inconveniences caused notified recharged carofuck fix network
"Communications Authority: Airtel Kenya had the worst mobile cellular services in 2021 
https://t.co/HxpGU12jjy https://t.co/85A2RkeGDQIs @Safaricom_Care slowing down the USSD code for Mpesa?",0,0,1,0,1,0,communications authority airtel kenya worst mobile cellular services slowing ussd code mpesa
"@Airtel_Ug Why was that decision made? SMS messages I do not worry but voice minutes 

That is a true challenge to the value of this plan@SafaricomPLC How will work",1,0,0,0,1,0,decision made sms messages worry voice minutes true challenge value plan work
"b'@Pablito_ke Hi, please dm the complete mpesa messages we check. ^Caro'@SafaricomPLC @SafaricomPLC  si i thot this a multimillion company, simuamue tu ata once mtoe milioni 10 mlishe watu, sasa sisi tutoe wapi na nyi ndo tunapea pesa kila siku 🚮",1,0,0,0,1,0,b please complete mpesa messages check thot multimillion company simuamue ata mtoe milioni mlishe watu sasa sisi tutoe wapi nyi tunapea pesa kila siku
"@Kimu_dickson Please remove sim ,ensure that sim is properly latched and try again.^Caro@Davy_Masilva @SafaricomPLC Wakora hao",1,0,0,0,1,0,please remove sim ensure sim properly latched try wakora hao
Nilipoteza line yangu ya @AitelKenya. Kurenew ni balaa. Naambiwa I give the phone numbers of the last three people… https://t.co/6TnyeuxRqE@mohammedhersi @AbsaKenya @Safaricom_Care The only logical thing to do is ban any transactions on a swapped Sim Card for 48hours,0,1,0,0,0,1,nilipoteza line yangu kurenew balaa naambiwa give phone numbers last three people logical thing ban transactions swapped sim card hours
@AIRTEL_KE Done check DM@Safaricom_Care @AdamsMugah Well that's pretty inconvenient for us as customers and quite convenient for the frauds… https://t.co/2WQvzLIZDh,0,1,0,0,0,1,done check well pretty inconvenient customers quite convenient frauds
"@AIRTEL_KE @Weirdowatch2 But it was a 2 day thing,... yesterday and today i did not see any spinb'@Muru_b @Safaricom_Care @SafaricomPLC Hi Badri,we are sorry kindly follow back and DM a reachable mobile number we call and advice. ^SA'",0,1,0,1,0,0,day thing yesterday today see spinb badri sorry kindly follow back reachable mobile number call advice sa
Do you know how Circle ⭕ Kabaddi court looks like and how it's played? @PravinEazhawa @AminaJMohammed @akaj075 @BidcoGroup @AIRTEL_KE @SportPesa  https://t.co/vawkZDibNi@Saitotilema19 @BettKMax @SafaricomPLC Because you're not related,1,0,0,0,1,0,know circle kabaddi court looks like played related
@Safaricom_Care @EKOKWAOCHANGO So you choosing those who you are helping? The time 80k was stolen from my mpesa shop u told to report to CIDb'@Airtel_Ug @Airtel_Ug  how far with my complaint about my money which was illegally deducted \nfrom my Airtel money\xe2\x80\xa6 https://t.co/Eb9M3y3DgE',0,0,1,0,0,1,choosing helping time k stolen mpesa shop u told report cidb far complaint money illegally deducted nfrom airtel money xe x xa
"b'@_safaricom_i @Safaricom_Care has a verified account. This is not your opportunity to con me, please. Shameless!!!'@benj_amin11 My answer a very clear yes for airtel",1,0,0,1,0,0,b verified account opportunity con please shameless answer clear airtel
"@aden_shafici @BravinYuri @Safaricom_Care Ever hard of a concept known as shared responsibility?@AIRTEL_KE And so my original question is, when it tells me I have ""won"" how come I don't get whatever it is I have won?",1,0,0,1,0,0,ever hard concept known shared responsibility original question tells come get whatever
"@AIRTEL_KE So you're telling me when it prompts me after spinning that I've gotten 1gb and I claim it, I still may… https://t.co/8Rjpple3LMb'The attacker in Texas sent an online warning before mass shooting. Malala and  Kenya kwanza are also sending  us ec\xe2\x80\xa6 https://t.co/e066RZ81lm'",0,1,0,0,0,1,telling prompts spinning gotten gb claim still may attacker texas sent online warning mass shooting malala kenya kwanza also sending ec xe x xa
"@Safaricom_Care @BrayoehNgetich @Safaricom_Care  not working. "" Connection problem or invalid MMI code""So I have been trying to pay for my Yaka using Airtel money since last week but their system is down .@UmemeLtd,… https://t.co/YSb8y5VVuH",0,0,1,0,0,1,working connection problem invalid mmi code trying pay yaka airtel money since last week system
"@beevee25 Checking on this. ^Jamo@Abunuwasii @Safaricom_Care Since Collymore died, the free mbs went!",0,1,0,0,0,1,checking since collymore died free mbs went
"@AIRTEL_KE @kosengen You need to engage with IEBC because the IEBC website is not accessible via Airtel. I think that's what the original complainant was saying. I have also experienced it for several months.@ricsworks @ricsworks Hello Paul, we have responded to your DM. ^AO",1,0,0,0,1,0,need engage iebc iebc website accessible via airtel think original complainant saying also experienced several months hello paul responded ao
